Log: Subject 49
Current Time,Time (ms),Heart Rate (BPM),EDR,Event
15:24:21.2070,13741425,85,66,
15:24:21.9020,13742120,85,70,Experiment started
15:24:22.5664,13742784,85,78,Experiment started
15:24:23.2413,13743460,85,81,Experiment started
15:24:23.9137,13744131,85,78,Experiment started
15:24:24.5935,13744811,85,77,Experiment started
15:24:25.2770,13745492,85,61,Experiment started
15:24:25.9203,13746139,85,62,Experiment started
15:24:26.5795,13746797,85,68,Experiment started
15:24:27.2520,13747468,85,78,Experiment started
15:24:27.9355,13748150,85,80,Experiment started
15:24:28.6077,13748824,85,72,Experiment started
15:24:29.3161,13749530,85,76,Experiment started
15:24:29.9837,13750200,85,83,Experiment started
15:24:30.6716,13750888,85,92,Experiment started
15:24:31.3145,13751528,85,74,Experiment started
15:24:31.9702,13752185,85,61,Experiment started
15:24:32.6209,13752834,85,64,Experiment started
15:24:33.2971,13753509,85,74,Experiment started
15:24:33.9437,13754160,85,72,Experiment started
15:24:34.6153,13754830,89,70,Experiment started
15:24:35.3040,13755516,89,69,Experiment started
15:24:35.9514,13756165,89,63,Experiment started
15:24:36.6024,13756818,89,60,Experiment started
15:24:37.2864,13757500,89,69,Experiment started
15:24:37.9459,13758160,89,79,Experiment started
15:24:38.6299,13758843,89,91,Experiment started
15:24:39.3305,13759543,89,97,Experiment started
15:24:39.9809,13760193,89,68,Experiment started
15:24:40.6572,13760868,89,60,Experiment started
15:24:41.4556,13761668,89,61,Experiment started
15:24:42.0296,13762239,89,58,Experiment started
15:24:42.6767,13762889,89,57,Experiment started
15:24:43.2908,13763504,89,54,Experiment started
15:24:43.9298,13764142,89,56,Experiment started
15:24:44.5604,13764770,89,80,Experiment started
15:24:45.1581,13765370,89,23,Experiment started
15:24:45.8588,13766069,89,29,Experiment started
15:24:46.5179,13766731,89,9,Button pressed: left
15:24:47.1730,13767383,89,1,Button pressed: left
15:24:47.8905,13768102,89,1,Button pressed: left
15:24:48.5864,13768796,90,1,Button pressed: left
15:24:49.2382,13769448,90,0,Button pressed: left
15:24:49.9222,13770132,90,1,Button pressed: left
15:24:50.6136,13770826,90,1,Button pressed: left
15:24:51.2979,13771507,90,1,Button pressed: left
15:24:51.9938,13772204,90,2,Button pressed: left
15:24:53.5061,13773712,90,19,Button pressed: left
15:24:54.0792,13774286,90,9,Button pressed: left
15:24:54.7587,13774969,90,7,Button pressed: left
15:24:55.4426,13775651,90,1,Button pressed: left
15:24:56.1596,13776369,90,8,Button pressed: left
15:24:56.8355,13777042,90,23,Button pressed: left
15:24:57.5438,13777750,90,20,Button pressed: left
15:24:58.3019,13778511,90,2,Button pressed: left
15:24:58.9698,13779176,90,5,Button pressed: left
15:24:59.6819,13779892,90,7,Button pressed: left
15:25:00.3126,13780517,90,12,Button pressed: left
15:25:00.8743,13781079,90,19,Button pressed: left
15:25:01.6645,13781869,90,12,Button pressed: left
15:25:02.3239,13782529,90,11,Button pressed: left
15:25:03.0076,13783211,90,16,Button pressed: right
15:25:03.6472,13783849,83,21,Button pressed: right
15:25:04.3187,13784521,83,26,Button pressed: right
